wait_same_pos
play_se train_move_and_stop.ogg
move_char left 20
chg_npc_img 1775 5
chg_npc_img 1776 11
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 12
chg_npc_img 1780 13
chg_npc_img 1781 12
chg_npc_img 1782 13
chg_npc_img 1783 12
chg_npc_img 1784 13
chg_npc_img 1785 12
chg_npc_img 1786 13
chg_npc_img 1787 14
jump_npc 1734 same 1
sleep 4
chg_npc_img 1774 15
chg_npc_img 1775 16
chg_npc_img 1776 17
chg_npc_img 1777 18
chg_npc_img 1778 19
chg_npc_img 1779 18
chg_npc_img 1780 19
chg_npc_img 1781 18
chg_npc_img 1782 19
chg_npc_img 1783 18
chg_npc_img 1784 19
chg_npc_img 1785 18
chg_npc_img 1786 20
chg_npc_img 1787 21
chg_npc_img 1788 22
sleep 4
chg_npc_img 1775 23
chg_npc_img 1776 24
chg_npc_img 1777 25
chg_npc_img 1778 26
chg_npc_img 1779 25
chg_npc_img 1780 26
chg_npc_img 1781 25
chg_npc_img 1782 26
chg_npc_img 1783 25
chg_npc_img 1784 26
chg_npc_img 1785 25
chg_npc_img 1786 27
chg_npc_img 1787 28
sleep 4
chg_npc_img 1774 5
chg_npc_img 1775 6
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 7
chg_npc_img 1779 8
chg_npc_img 1780 7
chg_npc_img 1781 8
chg_npc_img 1782 7
chg_npc_img 1783 8
chg_npc_img 1784 7
chg_npc_img 1785 8
chg_npc_img 1786 9
chg_npc_img 1787 10
chg_npc_img 1788 4
sleep 4
chg_npc_img 1775 11
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 12
chg_npc_img 1779 13
chg_npc_img 1780 12
chg_npc_img 1781 13
chg_npc_img 1782 12
chg_npc_img 1783 13
chg_npc_img 1784 12
chg_npc_img 1785 13
chg_npc_img 1786 14
jump_npc 1734 same 1
sleep 4
chg_npc_img 1773 15
chg_npc_img 1774 16
chg_npc_img 1775 17
chg_npc_img 1776 18
chg_npc_img 1777 19
chg_npc_img 1778 18
chg_npc_img 1779 19
chg_npc_img 1780 18
chg_npc_img 1781 19
chg_npc_img 1782 18
chg_npc_img 1783 19
chg_npc_img 1784 18
chg_npc_img 1785 20
chg_npc_img 1786 21
chg_npc_img 1787 22
sleep 4
chg_npc_img 1774 23
chg_npc_img 1775 24
chg_npc_img 1776 25
chg_npc_img 1777 26
chg_npc_img 1778 25
chg_npc_img 1779 26
chg_npc_img 1780 25
chg_npc_img 1781 26
chg_npc_img 1782 25
chg_npc_img 1783 26
chg_npc_img 1784 25
chg_npc_img 1785 27
chg_npc_img 1786 28
sleep 4
chg_npc_img 1773 5
chg_npc_img 1774 6
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 7
chg_npc_img 1778 8
chg_npc_img 1779 7
chg_npc_img 1780 8
chg_npc_img 1781 7
chg_npc_img 1782 8
chg_npc_img 1783 7
chg_npc_img 1784 8
chg_npc_img 1785 9
chg_npc_img 1786 10
chg_npc_img 1787 4
sleep 4
chg_npc_img 1774 11
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 12
chg_npc_img 1780 13
chg_npc_img 1781 12
chg_npc_img 1782 13
chg_npc_img 1783 12
chg_npc_img 1784 13
chg_npc_img 1785 14
step_npc 1734 1
sleep 4
chg_npc_img 1772 15
chg_npc_img 1773 16
chg_npc_img 1774 17
chg_npc_img 1775 18
chg_npc_img 1776 19
chg_npc_img 1777 18
chg_npc_img 1778 19
chg_npc_img 1779 18
chg_npc_img 1780 19
chg_npc_img 1781 18
chg_npc_img 1782 19
chg_npc_img 1783 18
chg_npc_img 1784 20
chg_npc_img 1785 21
chg_npc_img 1786 22
sleep 4
chg_npc_img 1773 23
chg_npc_img 1774 24
chg_npc_img 1775 25
chg_npc_img 1776 26
chg_npc_img 1777 25
chg_npc_img 1778 26
chg_npc_img 1779 25
chg_npc_img 1780 26
chg_npc_img 1781 25
chg_npc_img 1782 26
chg_npc_img 1783 25
chg_npc_img 1784 27
chg_npc_img 1785 28
sleep 4
chg_npc_img 1772 5
chg_npc_img 1773 6
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 7
