id,name,buy_val,sell_val
5000,パワーリスト,7500,3750
5001,ぼうだんチョッキ,3500,1750
5002,イヤリング,7500,3750
5003,タリスマン,4000,2000
5004,チョコボのはね,10000,5000
5005,おまもり,10000,5000
5006,チャンピオンベルト,0,1
5007,ポイズンリング,0,10000
5008,タフネスリング,0,1
5009,サークレット,0,1
5010,ほしのペンダント,4000,2000
5011,ぎんぶちメガネ,3000,1500
5012,ハチマキ,3000,1500
5013,フェアリーリング,7000,3500
5014,ジュエルリング,7500,3750
5015,ホワイトケープ,5000,2500
5016,エルメスのくつ,0,250
5017,やすらぎのゆびわ,7500,3750
5018,リボン,0,1
5019,ほのおのゆびわ,8000,4000
5020,れいきのゆびわ,8000,4000
5021,かみなりのゆびわ,8000,4000
5022,テトラエレメンタル,0,1
5023,セーフティビット,7500,3750
5024,いかりのゆびわ,5000,2500
5025,のろいのゆびわ,0,1
5026,まもりのゆびわ,0,4500
5027,タマのすず,0,1
5028,リフレクトリング,0,6000
5029,みずのゆびわ,0,5000
5030,とうぞくのこて,129000,1
5031,ヒュプノクラウン,0,1
