id,name,buy_val,sell_val
5000,PowWrist,7500,3750
5001,ArmVest,3500,1750
5002,Earring,7500,3750
5003,Talisman,4000,2000
5004,ChocoboF,10000,5000
5005,Amulet,10000,5000
5006,ChampBt,0,1
5007,PoisonRg,0,10000
5008,ToughRg,0,1
5009,Circlet,0,1
5010,Pendant,4000,2000
5011,Glasses,3000,1500
5012,Headband,3000,1500
5013,FairyRg,7000,3500
5014,JewelRg,7500,3750
5015,WhiteCp,5000,2500
5016,S.Shoes,0,250
5017,PeaceRg,7500,3750
5018,Ribbon,0,1
5019,FireRg,8000,4000
5020,IceRg,8000,4000
5021,BoltRg,8000,4000
5022,FourElem,0,1
5023,SafetyB,7500,3750
5024,FuryRg,5000,2500
5025,CurseRg,0,1
5026,GuardRg,0,4500
5027,CatsBell,0,1
5028,ReflecRg,0,6000
5029,WaterRg,0,5000
5030,S.Glove,129000,1
5031,HypCrown,0,1
