id,name,text
6000,Cotton Dress,A dress made of cotton
6001,Satin Dress,A dress made of satin
6002,Silk Dress,A dress made of silk
6003,Curly Wig,A wig with curly hair
6004,Brown Wig,A wig with brown hair
6005,Blonde Wig,A wig with blonde hair
6006,Glass Tiara,A glass tiara
6007,Ruby Tiara,A ruby tiara
6008,Diamond Tiara,A diamond tiara
6009,Cologne,Cheap perfume
6010,Floral Scent,Floral perfume
6011,Sexy Cologne,Sexy perfume
6012,Members Card,Honeybee Inn Member's card
6013,Lingerie,Scented underware
6014,BikiniBriefs,Tight-fitting briefs
6015,Drug Coupon,Redeemable at the drugstore
6016,Disinfectant,A tube of disinfectant
6017,Deodorant,A spray of deodorant
6018,Digestive,A bottle of digestive
6019,Keycard 60,You can go up to 60th floor
6020,Keycard 62,You can go up to 62nd floor
6021,Keycard 65,You can go up to 65th floor
6022,Keycard 66,You can go up to 66th floor
6023,Keycard 68,You can go up to 68th floor
6024,Midgar Parts,Part of Midgar city model
6025,PHS,Calls party members
6026,Gold Pass,Unlimited Gold Saucer pass
6027,Keystone,Key to the Ancient Temple
6028,Lev. Scale,Holds the power of water
6029,Glacier Map,Used at the Great Glacier
6030,A Coupon,Redeemable for an item
6031,B Coupon,Redeemable for an item
6032,C Coupon,Redeemable for an item
6033,BlackMateria,Black Materia
6034,Mythril,Might be some help to you==
6035,Snowboard,You can slide on the snow
6036,Huge Materia,Obtained at Fort Condor
6037,Huge Materia,Obtained at Corel
6038,Huge Materia,Obtained from the rocket
6039,Huge Materia,Obtained at Underwater
6040,Ancient Key,A key found at the sea
6041,Lunar Harp,Wakes up the Slumber Forest
6042,Basement Key,Key to Shinra Manor basement
6043,Sector 5 Key,Key to Midgar Sector 5 gate
