id,name,buy,sell,attack,vit,speed,magic,mind,luck,accuracy,critical,throw,back,materia_hole_x2,materia_hole_x1,ap
2000,Buster,500,250,18,0,0,2,0,0,96,0,0,0,1,0,1
2001,ミスリルセイバー,1000,500,23,0,0,4,0,0,98,0,1,0,1,1,1
2002,ハードブレイカー,1500,750,32,0,0,6,0,0,98,0,1,0,1,2,1
2003,バタフライエッジ,2800,1400,39,0,0,6,0,0,100,0,1,0,2,0,1
2004,むらさめ,6500,3250,51,0,0,12,0,0,100,0,1,0,2,1,1
2005,オーガニクス,12000,6000,62,0,0,15,0,0,103,0,1,0,2,1,1
2006,クリスタルソード,18000,9000,76,0,0,19,0,0,105,0,1,0,3,0,1
2007,フォースイーター,2200,1100,36,0,0,7,0,0,100,0,1,0,0,3,2
2008,ルーンブレイド,3800,1900,40,0,0,9,0,0,108,0,1,0,0,4,2
2009,エンハンスソード,12000,6000,43,0,0,16,0,0,107,0,1,0,4,0,1
2010,くぎバット,2800,1400,70,0,0,0,0,0,100,4,1,0,0,0,0
2011,むつのかみよしゆき,0,2100,56,0,0,9,0,0,100,0,1,0,0,2,1
2012,アポカリプス,0,1,88,0,0,43,16,0,110,0,1,0,0,3,3
2013,あまのむらくも,0,1,93,0,0,31,0,0,100,0,1,0,0,6,1
2014,ラグナロク,0,1,97,0,0,43,35,0,105,0,1,0,3,0,1
2015,アルテマウエポン,0,1,100,0,0,51,24,0,110,0,1,0,4,0,0
2100,Gatling G,200,100,14,0,0,0,0,0,97,0,0,1,0,1,1
2101,Assault G,350,175,17,0,0,1,0,0,98,0,1,1,1,0,1
2102,キャノンボール,950,475,23,0,0,2,0,0,98,0,1,0,1,1,1
2103,アトミックシザー,1400,700,32,0,0,4,0,0,99,0,1,0,1,2,1
2104,ハードバルカン,2700,1350,39,0,0,8,0,0,100,0,1,1,2,0,1
2105,チェーンソー,6300,3150,52,0,0,10,0,0,100,0,1,0,2,1,1
2106,マイクロレーザー,12000,6000,63,0,0,13,0,0,101,0,1,1,2,2,1
2107,ＡＭキャノン,18000,9000,77,0,0,16,0,0,103,0,1,1,3,0,1
2108,Ｗマシンガン,2000,1000,30,0,0,3,0,0,100,0,1,1,0,3,2
2109,ドリルアーム,3300,1650,37,0,0,0,0,0,97,3,1,0,0,4,2
2110,ソリッドバズーカ,16000,8000,61,0,0,15,0,0,100,0,1,1,4,0,1
2111,ロケットパンチ,3200,1600,62,0,0,0,0,0,110,4,1,0,0,0,0
2112,エネミーランチャ,3300,1650,35,0,0,7,0,0,100,0,1,1,1,3,1
2113,パイルバンカー,0,1,90,0,0,30,0,0,98,0,1,1,3,0,0
2114,マキシマムレイ,0,1,97,0,0,30,0,0,98,0,1,1,3,0,1
2115,ミッシングスコア,0,2,98,0,0,49,0,0,108,0,1,1,4,0,0
2200,レザーグローブ,200,60,13,0,0,0,0,0,99,2,0,0,0,1,1
2201,メタルナックル,320,160,18,0,0,1,0,0,102,2,0,0,1,0,1
2202,ミスリルクロー,750,375,24,0,0,3,0,0,106,2,0,0,1,1,1
2203,グランドクラブ,1200,600,31,0,0,6,0,0,110,2,0,0,1,2,1
2204,タイガーファング,2500,1250,38,0,0,8,0,0,110,2,0,0,2,0,1
2205,ダイアナックル,5800,2900,51,0,0,10,0,0,112,2,0,0,2,1,1
2206,ドラゴンクロー,10000,5000,62,0,0,13,0,0,114,2,0,0,2,2,1
2207,クリスタルクラブ,16000,8000,75,0,0,16,0,0,115,2,0,0,3,0,1
2208,モータードライブ,0,900,27,0,0,6,0,0,106,0,0,0,0,3,2
2209,プラチナフィスト,2700,1350,30,0,0,7,0,0,108,0,0,0,0,4,2
2210,カイザーナックル,15000,7500,44,0,0,13,0,0,110,1,0,0,1,6,1
2211,ぐんて,2200,1100,68,0,0,0,0,0,114,4,0,0,0,0,0
2212,オーバーソウル,4200,2100,28,0,0,7,0,0,106,0,0,0,0,4,2
