id,type,bgm,battle_back,monster_party_id
0,0,nothing,0,188/189/190/191
1,0,1-02b-Bombing_Mission.ogg,0,188/189/191
2,0,1-02b-Bombing_Mission.ogg,0,188/189/191
3,0,1-02b-Bombing_Mission.ogg,20,0/1/191/192
4,0,1-02b-Bombing_Mission.ogg,20,0/1/191/192
5,0,1-03-Makou_Reactor.ogg,20,2/190/191/192/193/195/203
6,1,1-03-Makou_Reactor.ogg,20,2/195/203
7,0,1-03-Makou_Reactor.ogg,20,2/195/203
8,0,1-03-Makou_Reactor.ogg,20,2/195/203
9,0,1-03-Makou_Reactor.ogg,20,2/195/203
10,0,1-03-Makou_Reactor.ogg,6,188/189/190/191
11,0,nothing,0,188/189/190/191
12,1,Ex-03-Burning.ogg,0,188/189/190/191
13,1,through,4,188/189/190/191
14,1,through,4,188/189/190/191
15,1,through,4,188/189/190/191
16,1,2-04-On_that_Day_Five_Years_Ago.ogg,4,188/189/190/191
17,1,through,4,188/189/190/191
18,0,through,4,188/189/190/191
19,1,through,4,188/189/190/191
20,1,through,0,188/189/190/191
21,1,through,0,188/189/190/191
22,1,1-05-Tifa's_Theme.ogg,0,188/189/190/191
23,1,through,0,188/189/190/191
24,1,through,0,188/189/190/191
25,1,through,0,188/189/190/191
26,1,through,0,188/189/190/191
27,1,through,0,188/189/190/191
28,1,through,0,188/189/190/191
29,1,through,0,188/189/190/191
30,1,through,0,188/189/190/191
31,1,through,0,188/189/190/191
32,1,through,0,188/189/190/191
33,0,1-08-Lurking_in_the_Darkness.ogg,5,206/207/211
34,0,1-08-Lurking_in_the_Darkness.ogg,5,206/207/211
35,0,1-08-Lurking_in_the_Darkness.ogg,5,206/207/211
36,0,1-08-Lurking_in_the_Darkness.ogg,5,207/209/212/213
37,0,1-08-Lurking_in_the_Darkness.ogg,5,210/214/215/216
38,0,1-08-Lurking_in_the_Darkness.ogg,5,210/214/215/216
39,0,1-08-Lurking_in_the_Darkness.ogg,5,207/209/212/213
40,1,1-08-Lurking_in_the_Darkness.ogg,5,207/209/212/213
41,0,1-08-Lurking_in_the_Darkness.ogg,5,210/214/215/216
42,0,1-03-Makou_Reactor.ogg,6,219/228/229/230
43,0,1-03-Makou_Reactor.ogg,6,219/228/229/230
44,0,1-03-Makou_Reactor.ogg,6,221/225/231/232
45,0,1-03-Makou_Reactor.ogg,6,221/225/231/232
46,1,1-03-Makou_Reactor.ogg,6,219/228/229/230
47,0,1-03-Makou_Reactor.ogg,6,218/220/222/223
48,1,through,6,218/220/222/223
49,1,1-12-Flowers_Blooming_in_the_Church.ogg,0,188/189/190/191
50,1,1-12-Flowers_Blooming_in_the_Church.ogg,0,188/189/190/191
51,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
52,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
53,1,1-12-Flowers_Blooming_in_the_Church.ogg,0,188/189/190/191
54,1,1-12-Flowers_Blooming_in_the_Church.ogg,0,188/189/190/191
55,0,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
56,0,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
57,0,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
58,1,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
59,1,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
60,1,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
61,1,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
62,1,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
63,1,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
64,1,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
65,1,3-19-Aerith's_Theme.ogg,0,188/189/190/191
66,1,3-19-Aerith's_Theme.ogg,0,188/189/190/191
67,1,3-19-Aerith's_Theme.ogg,0,188/189/190/191
68,0,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
69,0,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
70,0,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
71,0,1-14-Underneath_the_Rotting_Pizza.ogg,4,188/189/190/191
72,1,1-15-Oppressed_People.ogg,0,188/189/190/191
73,1,1-15-Oppressed_People.ogg,0,188/189/190/191
74,1,1-15-Oppressed_People.ogg,0,188/189/190/191
75,1,1-15-Oppressed_People.ogg,0,188/189/190/191
76,1,1-15-Oppressed_People.ogg,0,188/189/190/191
77,1,1-15-Oppressed_People.ogg,0,188/189/190/191
78,1,1-15-Oppressed_People.ogg,0,188/189/190/191
79,1,1-16-Honeybee_Manor.ogg,0,188/189/190/191
80,1,1-16-Honeybee_Manor.ogg,0,188/189/190/191
81,1,1-16-Honeybee_Manor.ogg,0,188/189/190/191
82,1,1-16-Honeybee_Manor.ogg,0,188/189/190/191
83,1,1-16-Honeybee_Manor.ogg,0,188/189/190/191
84,1,1-15-Oppressed_People.ogg,0,188/189/190/191
85,1,1-15-Oppressed_People.ogg,0,188/189/190/191
86,1,1-15-Oppressed_People.ogg,0,188/189/190/191
87,1,1-15-Oppressed_People.ogg,0,188/189/190/191
88,1,1-15-Oppressed_People.ogg,0,188/189/190/191
89,1,1-15-Oppressed_People.ogg,0,188/189/190/191
90,1,1-02b-Bombing_Mission.ogg,0,188/189/190/191
91,1,1-18-Don_of_the_Slums.ogg,0,188/189/190/191
92,1,1-18-Don_of_the_Slums.ogg,0,188/189/190/191
93,1,1-18-Don_of_the_Slums.ogg,0,188/189/190/191
94,1,1-18-Don_of_the_Slums.ogg,0,188/189/190/191
95,1,1-18-Don_of_the_Slums.ogg,0,188/189/190/191
96,0,1-08-Lurking_in_the_Darkness.ogg,25,188/189/190/191
97,0,1-08-Lurking_in_the_Darkness.ogg,25,188/189/190/191
98,0,through,4,188/189/190/191
99,0,through,4,188/189/190/191
100,0,1-10-Fighting.ogg,32,188/189/190/191
101,0,1-10-Fighting.ogg,32,188/189/190/191
102,0,1-10-Fighting.ogg,32,188/189/190/191
103,0,4-01-Shinra_Army_Wages_a_Full-scale_Attack.ogg,0,188/189/190/191
104,0,4-01-Shinra_Army_Wages_a_Full-scale_Attack.ogg,0,188/189/190/191
105,0,1-09-Shinra_Company.ogg,0,188/189/190/191
106,0,1-09-Shinra_Company.ogg,0,188/189/190/191
107,0,1-09-Shinra_Company.ogg,0,188/189/190/191
108,0,1-09-Shinra_Company.ogg,0,188/189/190/191
109,0,1-09-Shinra_Company.ogg,0,188/189/190/191
110,0,1-09-Shinra_Company.ogg,0,188/189/190/191
111,0,1-09-Shinra_Company.ogg,0,188/189/190/191
112,0,1-09-Shinra_Company.ogg,0,188/189/190/191
113,0,1-09-Shinra_Company.ogg,0,188/189/190/191
114,0,1-09-Shinra_Company.ogg,0,188/189/190/191
115,0,1-09-Shinra_Company.ogg,0,188/189/190/191
116,0,1-09-Shinra_Company.ogg,0,188/189/190/191
117,0,1-09-Shinra_Company.ogg,0,188/189/190/191
118,0,1-09-Shinra_Company.ogg,0,188/189/190/191
119,0,1-09-Shinra_Company.ogg,0,188/189/190/191
120,0,1-09-Shinra_Company.ogg,0,188/189/190/191
121,0,1-09-Shinra_Company.ogg,0,188/189/190/191
122,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
123,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
124,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
125,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
126,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
127,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
128,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
129,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
130,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
131,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
132,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
133,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
134,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
135,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
136,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
137,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
138,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
139,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
140,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
141,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
142,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
143,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
144,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
145,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
146,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
147,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
148,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
149,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
150,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
151,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
152,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
153,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
154,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
155,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
156,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
157,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
158,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
159,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
160,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
161,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
162,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
163,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
164,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
165,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
166,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
167,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
168,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
169,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
170,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
171,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
172,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
173,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
174,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
175,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
176,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
177,0,1-02b-Bombing_Mission.ogg,0,188/189/190/191
