monster_party_id,organization_tbl
0,1:1
1,1:2
2,1:4
3,1:6
4,1:1/4:1/27:1
5,16:2
6,16:3
7,16:4
8,16:1/231:1/139:1
9,16:2/139:1
10,27:2
11,27:5
12,245:1
13,4:1
14,4:2
15,4:3
16,4:6
17,38:1
18,38:2
19,38:3
20,139:3
21,51:1
22,51:2
23,52:1
24,52:2
25,52:4
26,53:2/51:1
27,54:1/53:2
28,54:2/53:1
29,53:2
30,53:3
31,57:2
32,57:3
33,57:1/55:2
34,56:4
35,58:2
36,58:2/57:1
37,57:1/58:1/56:2
38,288:1/56:2
39,288:1/56:1/57:1
40,57:1
41,57:2
42,288:1/57:2
43,58:2/288:1
44,58:1
45,58:2
46,65:2
47,65:3
48,65:2/67:1
49,64:1
50,64:1/65:2
51,66:1
52,67:2
53,67:3
54,68:1
55,68:2
56,68:5
57,68:2/288:1
58,68:3/288:1
59,65:2
60,65:1/68:2
61,74:1
62,79:2
63,79:3
64,79:5
65,82:1/79:2
66,77:1
67,77:3
68,77:4
69,91:2
70,91:3/93:1
71,93:1
72,93:2
73,93:3
74,93:4
75,288:1/93:2
76,91:2/288:1
77,92:2
78,92:1/93:2
79,94:1
80,93:2/288:1
81,94:1/288:1
82,209:1
83,209:2
84,96:2
85,96:3
86,97:2/96:1
87,97:1
88,97:2
89,97:6
90,91:3/93:1
91,106:3
92,104:1
93,107:1
94,107:2
95,107:3
96,103:3
97,105:1
98,103:3/104:1
99,108:1
100,108:2
101,108:3
102,117:2
103,117:3
104,118:1/117:2
105,118:1
106,118:3
107,115:2
108,116:4/118:1
109,116:6
110,119:2
111,117:2/119:1
112,118:2/288:1
113,132:2/288:1
114,132:2
115,132:3
116,132:4
117,119:1/288:1/132:1
118,119:2/288:1
119,138:1/140:1
120,140:3
121,140:4
122,138:1/288:1
123,140:3/288:1
124,137:1/138:2
125,138:2
126,138:3
127,138:2/288:1
128,138:3/288:1
129,136:3
130,136:4
131,141:1
132,141:3
133,141:5
134,141:2/136:3
135,141:2/138:1
136,136:1/138:1/141:2
137,138:2/141:3
138,139:1
139,155:1
140,155:2
141,153:1
142,153:2
143,154:1
144,152:3
145,152:4
146,152:5
147,156:2
148,164:1
149,165:1
150,165:2
151,173:1
152,173:2
153,173:3
154,173:4
155,172:1
156,172:2
157,172:3
158,172:1/288:1
159,172:2/288:1
160,173:1/288:1/172:1
161,173:2/288:1
162,179:1
163,179:2
164,174:1
165,174:2
166,174:3
167,201:1
168,203:2
169,203:3
170,203:1/288:1
171,203:2/288:1
172,202:3
173,202:4
174,202:2/288:1
175,202:3/288:1
