event_type,event_id,map_id,pos_x,pos_y,image_id,"direction(UP:0, DOWN:1, LEFT:2, RIGHT:3)","speed(not_move:0, slow:1, normal:2, fast:3, not_step:4)",param
treasure_box2,104,1,8,12,2,0,0,1000
treasure_box3,105,1,12,12,2,0,0,1000
event_generator,107,1,2,11,17,0,0,"@001/ichibangai_station_baret.txt"
npc_event,108,1,3,11,1,2,2,""
event_generator,109,1,15,11,17,0,0,"@001/ichibangai_station_encount1.txt"
event_generator,110,1,15,12,17,0,0,"@001/ichibangai_station_encount2.txt"
event_generator,120,1,1,1,17,0,0,"@001/ichiban_makouro8_1.txt"
npc2,122,1,14,10,17,1,0,""
treasure_box,124,1,13,9,0,0,0,1003
door,200,2,22,3,0,0,0,
npc_event,201,2,24,5,36,1,0,""
npc_event,202,2,22,5,34,0,0,""
npc_event,203,2,23,6,35,1,0,""
event_generator,211,2,24,7,17,0,0,"@002/ichibangai_station_abaranchi1.txt"
event_generator,212,2,25,7,17,0,0,"@002/ichibangai_station_abaranchi2.txt"
event_generator,213,2,26,7,17,0,0,"@002/ichibangai_station_abaranchi3.txt"
event_generator,214,2,24,6,17,0,0,"@002/ichibangai_station_abaranchi4.txt"
npc_event,301,3,7,23,35,0,3,"none"
event_generator,302,3,6,28,17,0,0,"@003/bigs2.txt"
event_generator,303,3,7,28,17,0,0,"@003/bigs3.txt"
npc_event,304,3,13,18,36,1,3,"none"
event_generator,305,3,13,21,17,0,0,"@003/wedge1.txt"
event_generator,306,3,12,21,17,0,0,"@003/wedge2.txt"
npc_event,307,3,8,13,34,3,3,"none"
event_generator,308,3,11,15,17,0,0,"@003/jesse3.txt"
event_generator,309,3,11,16,17,0,0,"@003/jesse4.txt"
npc_event,401,4,13,26,36,2,3,""
npc_event,402,4,11,26,34,2,3,""
npc_event,403,4,9,26,35,2,3,""
event_generator,404,4,14,26,17,0,0,"@004/ichiban_makouro4.txt"
event_generator,500,5,5,14,17,0,0,"@005/ichiban_makouro2_1.txt"
npc,501,5,5,13,1,1,0,""
event_generator,502,5,4,13,17,0,0,"@005/ichiban_makouro2_2.txt"
event_generator,503,5,1,14,17,0,0,"@005/ichiban_makouro2_3.txt"
door,514,5,8,11,0,0,0,""
npc2,515,5,8,12,17,0,0,""
npc2,516,5,9,12,17,0,0,""
npc3,530,5,7,13,35,0,0,"ビッグス
「コードかいじょ"
npc,531,5,10,14,34,2,0,"ジェシー
「わたしと　ビッグスが　ここのドアロックの
　あんごうを　てにいれたの"
event_generator,532,5,1,1,17,0,0,"@005/bigs1.txt"
npc2,535,5,13,7,17,0,0,""
npc2,536,5,13,8,17,0,0,""
npc2,539,5,23,7,17,0,0,""
map_obj,550,5,13,8,31,0,0,0
map_obj,551,5,13,7,31,0,0,0
map_obj,552,5,23,7,31,0,0,0
treasure_box,599,5,16,20,1,0,0,1007
event_generator,600,6,4,1,17,0,0,"@006/ichiban_makouro3.txt"
npc,641,6,2,2,34,3,0,"ジェシー
「さ　そこのボタンを
　おして！"
npc3,642,6,18,2,34,2,0,none
event_generator,643,6,2,3,17,0,0,@006/elevator.txt
event_generator,661,6,20,1,17,0,0,"@006/elevator_switch2.txt"
map_door,700,7,10,25,8,0,0,0
event_generator,802,8,18,8,17,0,0,"@008/makouro_jump1.txt"
event_generator,803,8,21,8,17,0,0,"@008/makouro_jump2.txt"
event_generator,804,8,27,8,17,0,0,"@008/makouro_jump3.txt"
event_generator,805,8,29,7,17,0,0,"@008/makouro_jump4.txt"
event_generator,820,8,32,18,17,0,0,"@008/makouro_jump5.txt"
event_generator,821,8,33,17,17,0,0,"@008/makouro_jump6.txt"
event_generator,830,8,29,8,17,0,0,"@set_slide_walk.txt"
event_generator,831,8,29,15,17,0,0,"@set_slide_walk.txt"
event_generator,832,8,29,16,17,0,0,"@reset_slide_walk_bottom.txt"
event_generator,833,8,33,18,17,0,0,"@set_slide_walk.txt"
npc,806,8,26,8,34,3,0,"ジェシー
「はしごのまえでは　『Aボタン』を　おして
　そうすればはしごにつかまるわ
　あとは　ほうこうキーのじょうげで　のぼりおりするの"
