wait_same_pos
play_se train_noise_close.ogg
move_char left 20
chg_npc_y_offset 1730 0
chg_npc_y_offset 1731 0
chg_npc_img 1775 5
chg_npc_img 1776 11
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 12
chg_npc_img 1780 13
chg_npc_img 1781 12
chg_npc_img 1782 13
chg_npc_img 1783 14
sleep 4
chg_npc_img 1774 15
chg_npc_img 1775 16
chg_npc_img 1776 17
chg_npc_img 1777 18
chg_npc_img 1778 19
chg_npc_img 1779 18
chg_npc_img 1780 19
chg_npc_img 1781 18
chg_npc_img 1782 20
chg_npc_img 1783 21
chg_npc_img 1784 22
sleep 4
chg_npc_img 1775 23
chg_npc_img 1776 24
chg_npc_img 1777 25
chg_npc_img 1778 26
chg_npc_img 1779 25
chg_npc_img 1780 26
chg_npc_img 1781 25
chg_npc_img 1782 27
chg_npc_img 1783 28
sleep 4
chg_npc_img 1774 5
chg_npc_img 1775 6
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 7
chg_npc_img 1779 8
chg_npc_img 1780 7
chg_npc_img 1781 8
chg_npc_img 1782 9
chg_npc_img 1783 10
chg_npc_img 1784 4
sleep 4
chg_npc_img 1775 11
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 12
chg_npc_img 1779 13
chg_npc_img 1780 12
chg_npc_img 1781 13
chg_npc_img 1782 14
sleep 4
chg_npc_img 1773 15
chg_npc_img 1774 16
chg_npc_img 1775 17
chg_npc_img 1776 18
chg_npc_img 1777 19
chg_npc_img 1778 18
chg_npc_img 1779 19
chg_npc_img 1780 18
chg_npc_img 1781 20
chg_npc_img 1782 21
chg_npc_img 1783 22
sleep 4
chg_npc_img 1774 23
chg_npc_img 1775 24
chg_npc_img 1776 25
chg_npc_img 1777 26
chg_npc_img 1778 25
chg_npc_img 1779 26
chg_npc_img 1780 25
chg_npc_img 1781 27
chg_npc_img 1782 28
sleep 4
chg_npc_img 1773 5
chg_npc_img 1774 6
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 7
chg_npc_img 1778 8
chg_npc_img 1779 7
chg_npc_img 1780 8
chg_npc_img 1781 9
chg_npc_img 1782 10
chg_npc_img 1783 4
sleep 4
chg_npc_img 1774 11
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 12
chg_npc_img 1780 13
chg_npc_img 1781 14
sleep 4
chg_npc_img 1772 15
chg_npc_img 1773 16
chg_npc_img 1774 17
chg_npc_img 1775 18
chg_npc_img 1776 19
chg_npc_img 1777 18
chg_npc_img 1778 19
chg_npc_img 1779 18
chg_npc_img 1780 20
chg_npc_img 1781 21
chg_npc_img 1782 22
sleep 4
chg_npc_img 1773 23
chg_npc_img 1774 24
chg_npc_img 1775 25
chg_npc_img 1776 26
chg_npc_img 1777 25
chg_npc_img 1778 26
chg_npc_img 1779 25
chg_npc_img 1780 27
chg_npc_img 1781 28
sleep 4
chg_npc_img 1772 5
chg_npc_img 1773 6
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 7
chg_npc_img 1779 8
chg_npc_img 1780 9
chg_npc_img 1781 10
chg_npc_img 1782 4
sleep 4
chg_npc_img 1773 11
chg_npc_img 1774 12
